method,short_name,dim,dataset,split,recall_at_1,recall_at_5,recall_at_10,n_queries,encoding_time_ms
BEVPlace++,bevplace,8192,NCLT_2012-01-08,val,0.8969,0.9695,0.9820,1834,25.76
BEVPlace++,bevplace,8192,NCLT_2013-01-10,val,0.9061,0.9779,0.9834,181,17.06
