method,short_name,dim,dataset,split,recall_at_1,recall_at_5,recall_at_10,n_queries,encoding_time_ms
FreSCo,fresco,620,NCLT_2012-01-08,val,0.6816,0.7563,0.7846,1834,2.47
FreSCo,fresco,620,NCLT_2013-01-10,val,0.8453,0.9116,0.9503,181,2.51
