method,short_name,dim,dataset,split,recall_at_1,recall_at_5,recall_at_10,n_queries,encoding_time_ms
LiDAR-Iris,lidar_iris,640,NCLT_2012-01-08,val,0.3021,0.3206,0.3348,1834,5.25
LiDAR-Iris,lidar_iris,640,NCLT_2013-01-10,val,0.0000,0.0497,0.1105,181,4.65
