method,short_name,dim,dataset,split,recall_at_1,recall_at_5,recall_at_10,n_queries,encoding_time_ms
RING++,ring++,14400,NCLT_2012-01-08,val,0.7797,0.8577,0.8773,1834,1.69
RING++,ring++,14400,NCLT_2013-01-10,val,0.6188,0.8177,0.8729,181,1.61
