method,short_name,dim,dataset,split,recall_at_1,recall_at_5,recall_at_10,n_queries,encoding_time_ms
M2DP,m2dp,192,NCLT_2012-01-08,val,0.5458,0.6429,0.6832,1834,25.63
M2DP,m2dp,192,NCLT_2013-01-10,val,0.3149,0.4088,0.4862,181,22.21
